,Week,Color,Avg_Return,Volatility,Week_of_Month,Close
106,107,Green,0.021362497,0.046120183817427045,3,582.77
107,108,Green,0.006435456,0.017269744,4,605.89
108,109,Red,-0.00132362,0.006184611,1,600.22
109,110,Green,0.002122959,0.006746189,2,611.63
110,111,Green,0.000683599,0.007230983,3,616.44
111,112,Green,0.010581980800000002,0.007139991,4,639
112,113,Green,0.008649605,0.011218802971366931,1,671.46
113,114,Green,0.009401393,0.005598652,2,710.31
114,115,Red,0.000265271,0.005962748,3,708.37
115,116,Green,0.001230822,0.010334879831439693,4,712.44
116,117,Red,-0.004544798,0.018250203,1,676.79
117,118,Green,0.008702025,0.011299600129156883,2,709.52
118,119,Red,-0.000738984,0.008516145,3,705.44
119,120,Green,0.001198549,0.015657146730069148,4,715.91
120,121,Red,-0.011813782,0.022894645348381235,1,662.56
121,122,Red,0.004203953,0.017439155137223498,2,659.97
122,123,Green,0.004491906,0.026193925542299483,3,709.87
123,124,Green,0.011386116,0.010648237603495734,4,740.59
124,125,Red,0.001801519,0.007714429,1,726.85
125,126,Green,-0.003962252,0.009351366,2,732.88
126,127,Green,0.002404615,0.009449511,3,739.54
127,128,Green,0.002502843,0.007860834,4,750.85
128,129,Red,0.006451846,0.010362814099275917,1,746.52
129,130,Green,0.00381835,0.025248812,2,779.86
130,131,Green,0.003449381,0.017647638846908596,3,792.21
131,132,Green,0.005989593,0.012926480329140946,4,817.9
132,133,Red,-0.000924973,0.014036716482944507,1,817.2
133,134,Red,0.002301608,0.007103818,2,805.44
134,135,Green,0.006026737,0.015373732809104933,3,838.42
135,136,Red,-0.001599765,0.009280939,4,836.32
136,137,Red,-0.007526439,0.027524991,1,787.86
137,138,Green,0.006695352,0.018267988632804332,2,834.66
138,139,Red,-0.00345429,0.010942600659595937,3,818.83
139,140,Green,-0.000413481,0.017042209,4,823.93
140,141,Green,0.00313859,0.014235265,1,830.35
141,142,Green,0.000327429,0.004173577,2,841.48
142,143,Red,-0.00716672,0.026518033980785696,3,787.87
143,144,Red,-0.0050157,0.013516320569497446,4,768.63
144,145,Red,-0.010679868,0.008786149,1,731.62
145,146,Green,0.003263202,0.011589803,2,754.66
146,147,Green,0.006445503,0.010193897669828682,3,772.61
147,148,Green,0.01382468,0.015429559686399908,4,813.92
148,149,Green,0.000750531,0.006629403,1,822.48
149,150,Red,-0.002051558,0.008735446,2,815.32
150,151,Green,0.005559132,0.006212474,3,834.53
151,152,Green,0.001423265,0.006820834,4,836.79
152,153,Green,0.005851759,0.011226104,1,865.13
153,154,Red,0.001061515,0.006265954,2,857.77
154,155,Green,0.001764404,0.005570837,3,878.15
155,156,Red,0.002773777,0.007382088,4,869.71
156,157,Red,6.325119999999987e-05,0.008757838,1,866.76
157,158,Red,-0.005097212,0.018582703769104245,2,864.22
158,159,Green,0.012777335400000001,0.009919796,3,921.94
159,160,Red,0.004005178,0.006336274,4,920.14
160,161,Red,-0.039487986,0.03640509,1,773.58
161,162,Red,-0.006790638,0.038189634910771694,2,723.08
162,163,Red,-0.035150339,0.058233672,3,630.36
163,164,Red,-0.018159583,0.10189696481903292,4,566
164,165,Green,0.043944629,0.049463022,1,635.03
165,166,Red,-0.009043013,0.031261033,2,611.01
166,167,Green,0.026132737888888882,0.04936155,3,820.27
167,168,Green,0.02109888,0.055833199456422664,4,882.47
168,169,Red,0.002729131,0.012929679,1,874.92
169,170,Green,0.004397025,0.015482690223744081,2,925.83
